N/A,META,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SUMMARY,Unnamed: 7,Unnamed: 8,PLACE,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,ECONOMY,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,COMMUNITY,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,50021963000,Rutland County,Vermont,2023,58,54,61,58,54,62,66,-0.9,5.3,42,42.1,21.5,19,3.5,0.8,90,76,86.4,52,89.1,89.5,87,63.9,82.3,56,56,57,65,27.3,31.1,35,,,68,-8.7,0,21,4,2.2,70,49,69,79,20.7,27.2,58,52,64,44,15.7,9,59,,,54,86.9,88,54,41.8,41.2,93,26.6,59.5,55,94.3,94.8
31.0,,50021963000,Rutland County,Vermont,2024,57,54,60,58,54,62,66,-0.9,5.3,42,42.1,21.5,19,3.5,0.8,90,76,86.4,52,89.1,89.5,87,63.9,82.3,59,65,53,60,-5,-5,68,,,68,-8.7,0,12,3.7,1.5,70,49,69,76,1.1,2,54,44,64,44,15.7,9,43,,,54,86.9,88,54,41.8,41.2,93,26.6,59.5,55,94.3,94.8
32.0,Yes,50021963100,Rutland County,Vermont,2017,51,47,55,43,34,52,23,1.5,-4.5,45,-0.4,3.1,67,3.5,6.3,21,75,66.8,25,78.9,69,94,65.3,87.3,52,48,57,50,4.3,0,32,,,61,4.8,9.9,34,4.2,3.2,52,50,52,84,20.3,28.6,58,60,56,68,3.5,13.5,51,,,32,84.2,77.1,37,41.7,43.7,94,24.3,52.8,61,90.2,91.9
33.0,Yes,50021963100,Rutland County,Vermont,2018,48,41,54,40,30,51,20,1.3,-6,41,4.4,4.3,67,3.5,6.3,19,75.7,66.7,25,78.9,69,92,64.9,86,50,39,60,50,4.3,0,42,,,25,0.8,-29.5,34,4.2,3.2,61,50,61,84,20.3,28.6,54,55,52,66,5.7,14.4,44,,,27,84.5,75,33,41.9,44.4,89,24.2,44.5,57,91.3,92.4
34.0,Yes,50021963100,Rutland County,Vermont,2019,47,41,53,38,26,51,24,1.1,-4.4,28,13.1,0.5,67,3.5,6.3,17,76.2,66.3,29,80,72.1,91,64.4,84.9,58,56,60,70,13,19,73,,,24,7.4,-30.9,34,4.2,3.2,61,50,61,84,20.3,28.6,46,42,49,55,8.8,12.3,30,,,25,84.9,74.4,31,42,44.9,79,24.1,36.3,61,92.5,93.8
35.0,Yes,50021963100,Rutland County,Vermont,2020,48,47,49,39,28,50,37,0.9,-1,20,20.3,-3,67,3.5,6.3,17,76.5,66.6,30,81.1,74.2,86,63.9,81.6,58,62,53,68,6.8,11.2,57,,,62,7.7,13.2,22,3.7,2.2,58,50,58,80,20.8,27.5,48,51,45,48,11.5,12.4,54,,,25,85.4,75.3,31,42,45,72,24.1,32.8,52,93.5,93.6
36.0,Yes,50021963100,Rutland County,Vermont,2021,48,53,44,46,40,52,58,-0.6,3.2,22,19.6,-7.2,67,3.5,6.3,28,77.1,70.9,30,86.1,80.2,83,63.5,79.9,56,62,50,39,5.1,-3.6,62,,,86,8,81.4,22,5.3,3,49,49,48,79,20.8,27.1,43,56,30,57,12.9,17.9,55,,,23,86.8,76.7,21,41.6,47.1,47,26.3,25.1,27,94.3,90.6
37.0,Yes,50021963100,Rutland County,Vermont,2022,44,46,42,48,41,54,59,-0.7,3.7,23,24.5,-1.3,67,3.5,6.3,44,76.7,75.1,21,87.8,79.3,83,63.8,80.1,44,47,42,88,-12.1,28.4,29,,,24,16.4,-20.5,14,5.3,2.3,32,49,31,80,21.1,28,40,50,31,64,13.7,23.4,35,,,28,87,79.2,25,41.6,46,,26.3,,39,94.2,92.7
38.0,Yes,50021963100,Rutland County,Vermont,2023,45,46,44,46,40,52,59,-0.9,4,21,42.1,6.8,67,3.5,6.3,33,76,71.1,18,89.1,79.6,88,63.9,83.3,44,43,44,30,27.3,-20.3,43,,,56,-8.7,-8.1,21,4,2.2,32,49,31,80,20.7,27.6,45,55,35,68,15.7,30.6,42,,,26,86.9,78.4,25,41.8,46.3,,26.6,,55,94.3,94.8
39.0,Yes,50021963100,Rutland County,Vermont,2024,52,60,45,46,40,52,59,-0.9,4,21,42.1,6.8,67,3.5,6.3,33,76,71.1,18,89.1,79.6,88,63.9,83.3,60,72,47,90,-5,33.6,69,,,56,-8.7,-8.1,24,3.7,2.2,32,49,31,86,1.1,2.6,52,68,35,68,15.7,30.6,68,,,26,86.9,78.4,25,41.8,46.3,,26.6,,55,94.3,94.8
