N/A,META,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SUMMARY,Unnamed: 7,Unnamed: 8,PLACE,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,ECONOMY,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,COMMUNITY,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,01047956800,Dallas County,Alabama,2023,50,40,60,38,12,65,16,-0.9,-16.1,8,42.1,-42.2,38,3.5,2.2,85,76,84.6,38,89.1,86.4,98,63.9,92.4,54,49,60,35,27.3,11.9,72,,,41,-8.7,-8.9,88,4,9.3,31,49,31,,,,56,58,55,46,15.7,14.8,71,,,34,86.9,81.8,44,41.8,42.7,99,26.6,100,43,94.3,93.3
9.0,,01047956800,Dallas County,Alabama,2024,46,32,60,38,12,65,16,-0.9,-16.1,8,42.1,-42.2,38,3.5,2.2,85,76,84.6,38,89.1,86.4,98,63.9,92.4,56,52,60,62,-5,-1.3,53,,,41,-8.7,-8.9,89,3.7,9.5,31,49,31,,,,44,32,55,46,15.7,14.8,18,,,34,86.9,81.8,44,41.8,42.7,99,26.6,100,43,94.3,93.3
10.0,,01047956701,Dallas County,Alabama,2020,46,30,62,37,16,58,20,0.9,-3.2,12,20.3,-20.1,33,3.5,1.8,48,76.5,76.1,55,81.1,82.7,94,63.9,87.2,54,30,78,53,6.8,17.6,,,,6,7.7,-27.3,95,3.7,10,60,50,60,,,,48,45,50,45,11.5,8.6,,,,38,85.4,81.5,63,42,40.1,59,24.1,27.3,40,93.5,92.2
11.0,,01047956701,Dallas County,Alabama,2021,48,36,61,32,18,46,23,-0.6,-5.1,13,19.6,-33.5,33,3.5,1.8,10,77.1,62.4,86,86.1,94.7,55,63.5,66,61,52,70,35,5.1,5,,,,68,8,93.8,81,5.3,9.5,58,49,57,,,,52,39,66,39,12.9,7.5,,,,56,86.8,88.3,85,41.6,35.8,73,26.3,37.5,51,94.3,94.4
12.0,,01047956701,Dallas County,Alabama,2022,45,28,62,34,30,38,44,-0.7,1.3,16,24.5,-21.9,33,3.5,1.8,7,76.7,59.1,69,87.8,91.9,41,63.8,59.5,46,23,70,9,-12.1,-28.6,,,,37,16.4,16.1,91,5.3,13.3,50,49,49,,,,54,30,78,30,13.7,2.6,,,,69,87,91.4,80,41.6,37,93,26.3,60.5,69,94.2,96.2
13.0,,01047956701,Dallas County,Alabama,2023,42,24,59,36,36,36,53,-0.9,5,20,42.1,4.1,33,3.5,1.8,12,76,62.3,58,89.1,90.9,43,63.9,60.5,42,10,74,7,27.3,-13.3,,,,14,-8.7,-38.9,97,4,15.4,50,49,49,,,,46,25,66,25,15.7,-0.5,,,,73,86.9,92.2,54,41.8,41.1,95,26.6,65.2,41,94.3,93.1
14.0,,01047956701,Dallas County,Alabama,2024,41,23,59,36,36,36,53,-0.9,5,20,42.1,4.1,33,3.5,1.8,12,76,62.3,58,89.1,90.9,43,63.9,60.5,42,9,74,4,-5,-23.1,,,,14,-8.7,-38.9,99,3.7,20,50,49,49,,,,46,25,66,25,15.7,-0.5,,,,73,86.9,92.2,54,41.8,41.1,95,26.6,65.2,41,94.3,93.1
15.0,,01047956702,Dallas County,Alabama,2020,40,42,39,59,54,64,52,0.9,5.8,57,20.3,47.7,79,3.5,10.4,80,76.5,83,21,81.1,69.8,78,63.9,77.2,32,35,28,15,6.8,-6.5,48,,,43,7.7,13.3,46,3.7,3.4,9,50,9,,,,32,38,26,49,11.5,14.8,28,,,8,85.4,59.4,32,42,44.9,26,24.1,15.7,39,93.5,91.9
16.0,,01047956702,Dallas County,Alabama,2021,38,33,42,54,47,60,57,-0.6,7.3,37,19.6,18,79,3.5,10.4,85,77.1,85.5,39,86.1,83.2,39,63.5,58.4,33,28,38,11,5.1,-13.8,14,,,59,8,41.2,73,5.3,8,2,49,2,,,,25,23,27,32,12.9,9.4,14,,,5,86.8,57.3,23,41.6,46.5,,26.3,,54,94.3,94.8
17.0,,01047956702,Dallas County,Alabama,2022,39,35,43,51,45,57,58,-0.7,8.6,32,24.5,15.6,79,3.5,10.4,68,76.7,81,33,87.8,83.3,48,63.8,62.7,37,33,41,53,-12.1,-4,16,,,31,16.4,12.5,74,5.3,8.3,8,49,8,,,,29,28,30,45,13.7,15.3,12,,,22,87,76,14,41.6,49.4,,26.3,,53,94.2,94.5
18.0,,01047956702,Dallas County,Alabama,2023,42,40,44,50,40,60,62,-0.9,13.3,19,42.1,8,79,3.5,10.4,32,76,70.8,66,89.1,92.3,63,63.9,69.9,36,35,36,12,27.3,-16.7,71,,,21,-8.7,-22.2,63,4,5,8,49,8,,,,41,45,37,30,15.7,10.6,60,,,17,86.9,73,25,41.8,46.2,,26.6,,70,94.3,96.4
19.0,,01047956702,Dallas County,Alabama,2024,44,43,45,50,40,60,62,-0.9,13.3,19,42.1,8,79,3.5,10.4,32,76,70.8,66,89.1,92.3,63,63.9,69.9,42,48,37,55,-5,0,69,,,21,-8.7,-22.2,66,3.7,5,8,49,8,,,,40,42,37,30,15.7,10.6,53,,,17,86.9,73,25,41.8,46.2,,26.6,,70,94.3,96.4
20.0,,01047956600,Dallas County,Alabama,2020,34,31,38,35,12,58,12,0.9,-18.6,11,20.3,-17.4,75,3.5,8.4,49,76.5,76.2,26,81.1,72.5,81,63.9,78.9,26,35,18,24,6.8,-10.5,63,,,19,7.7,-19.1,,,,18,50,18,,,,42,46,37,39,11.5,11.9,53,,,13,85.4,66.3,37,42,43.9,89,24.1,44.3,8,93.5,83.9
21.0,,01047956600,Dallas County,Alabama,2021,38,32,43,38,16,61,17,-0.6,-14.7,14,19.6,-22.9,75,3.5,8.4,85,77.1,85.6,54,86.1,87,29,63.5,53,37,47,27,48,5.1,2.9,15,,,77,8,76.3,21,5.3,2.9,33,49,33,,,,38,34,41,39,12.9,13.1,29,,,17,86.8,72.7,33,41.6,44.5,91,26.3,54,24,94.3,90.1
22.0,,01047956600,Dallas County,Alabama,2022,38,34,43,40,24,57,23,-0.7,-12.6,24,24.5,4,75,3.5,8.4,73,76.7,82.3,34,87.8,83.5,46,63.8,61.9,33,43,23,76,-12.1,8.6,15,,,37,16.4,7.5,18,5.3,2.6,28,49,28,,,,42,34,49,60,13.7,25.6,9,,,29,87,79.9,45,41.6,42.4,98,26.3,78.9,25,94.2,90.2
23.0,,01047956600,Dallas County,Alabama,2023,36,38,34,32,20,44,26,-0.9,-10.4,13,42.1,-12.8,75,3.5,8.4,26,76,68.9,28,89.1,83.4,48,63.9,63,29,41,17,32,27.3,5.3,68,,,24,-8.7,-40.3,6,4,1.2,28,49,28,,,,48,54,42,45,15.7,19.2,64,,,29,86.9,79.8,55,41.8,41.1,65,26.6,33.5,20,94.3,88.9
24.0,,01047956600,Dallas County,Alabama,2024,38,42,34,32,20,44,26,-0.9,-10.4,13,42.1,-12.8,75,3.5,8.4,26,76,68.9,28,89.1,83.4,48,63.9,63,38,59,16,83,-5,21.2,70,,,24,-8.7,-40.3,4,3.7,1,28,49,28,,,,44,46,42,45,15.7,19.2,47,,,29,86.9,79.8,55,41.8,41.1,65,26.6,33.5,20,94.3,88.9
25.0,Yes,01047956500,Dallas County,Alabama,2020,34,26,41,36,18,54,16,0.9,-11.8,19,20.3,2.4,53,3.5,3.9,97,76.5,89.5,2,81.1,48,64,63.9,70.5,40,34,46,44,6.8,4.3,33,,,26,7.7,0,90,3.7,8.2,1,50,1,,,,24,25,24,14,11.5,3,36,,,3,85.4,46.6,28,42,45.7,55,24.1,26,8,93.5,83.7
26.0,Yes,01047956500,Dallas County,Alabama,2021,38,35,42,38,25,51,30,-0.6,-6.6,20,19.6,-2.7,53,3.5,3.9,96,77.1,89.9,3,86.1,58.8,51,63.5,63.8,48,49,48,42,5.1,2,37,,,69,8,129.4,95,5.3,16,1,49,1,,,,28,30,26,27,12.9,10,34,,,2,86.8,42.6,7,41.6,52.9,92,26.3,56.4,3,94.3,79.6
27.0,Yes,01047956500,Dallas County,Alabama,2022,35,31,39,38,21,54,30,-0.7,-7.4,12,24.5,-16.7,53,3.5,3.9,98,76.7,91.4,2,87.8,56.9,62,63.8,69.3,36,34,39,50,-12.1,-12,11,,,41,16.4,20.5,78,5.3,9.1,0,49,0,,,,32,38,25,52,13.7,22.4,23,,,2,87,46.5,9,41.6,51.5,87,26.3,49.7,2,94.2,77.7
28.0,Yes,01047956500,Dallas County,Alabama,2023,44,46,41,41,32,50,27,-0.9,-11.5,36,42.1,42.6,53,3.5,3.9,100,76,94.6,3,89.1,65.8,46,63.9,62.1,42,36,47,23,27.3,-6.8,67,,,19,-8.7,-27.7,94,4,12.2,0,49,0,,,,48,70,27,62,15.7,37.5,77,,,1,86.9,35.2,2,41.8,57.4,97,26.6,77.2,8,94.3,84.2
29.0,Yes,01047956500,Dallas County,Alabama,2024,42,43,41,41,32,50,27,-0.9,-11.5,36,42.1,42.6,53,3.5,3.9,100,76,94.6,3,89.1,65.8,46,63.9,62.1,46,45,46,50,-5,-4.9,66,,,19,-8.7,-27.7,91,3.7,10.3,0,49,0,,,,40,52,27,62,15.7,37.5,43,,,1,86.9,35.2,2,41.8,57.4,97,26.6,77.2,8,94.3,84.2
30.0,,01047956201,Dallas County,Alabama,2020,38,33,43,48,34,62,33,0.9,-0.6,34,20.3,12.1,70,3.5,7.2,58,76.5,78.3,45,81.1,79.4,75,63.9,75.7,44,37,52,39,6.8,8.3,,,,35,7.7,7.1,88,3.7,7.7,15,50,15,,,,22,29,14,29,11.5,4.9,,,,8,85.4,60.4,17,42,48.3,1,24.1,0,30,93.5,90.4
31.0,,01047956201,Dallas County,Alabama,2021,48,41,54,42,18,66,14,-0.6,-13.1,23,19.6,-9,70,3.5,7.2,62,77.1,80,40,86.1,83.5,90,63.5,84.3,48,50,46,42,5.1,7.7,,,,59,8,40,67,5.3,7.1,26,49,26,,,,52,54,51,54,12.9,16.1,,,,35,86.8,81.8,55,41.6,40.8,,26.3,,64,94.3,95.9
32.0,,01047956201,Dallas County,Alabama,2022,42,32,52,43,15,71,16,-0.7,-20.6,14,24.5,-33.2,70,3.5,7.2,87,76.7,85.8,37,87.8,84.4,91,63.8,85.1,38,30,46,52,-12.1,0,,,,7,16.4,-14.3,67,5.3,7.1,25,49,25,,,,44,50,38,50,13.7,15.5,,,,43,87,85.1,36,41.6,44,,26.3,,34,94.2,92
33.0,,01047956201,Dallas County,Alabama,2023,46,42,49,42,16,69,17,-0.9,-18.4,15,42.1,-20.1,70,3.5,7.2,87,76,85.3,32,89.1,84.7,87,63.9,82.7,50,55,44,51,27.3,42.9,,,,59,-8.7,16.7,63,4,5,25,49,25,,,,44,54,34,54,15.7,19.6,,,,46,86.9,85.7,8,41.8,52.2,,26.6,,49,94.3,94.2
34.0,,01047956201,Dallas County,Alabama,2024,38,34,43,42,16,69,17,-0.9,-18.4,15,42.1,-20.1,70,3.5,7.2,87,76,85.3,32,89.1,84.7,87,63.9,82.7,28,32,25,4,-5,-25,,,,59,-8.7,16.7,,,,25,49,25,,,,44,54,34,54,15.7,19.6,,,,46,86.9,85.7,8,41.8,52.2,,26.6,,49,94.3,94.2
35.0,,01047956300,Dallas County,Alabama,2020,40,41,38,40,32,48,53,0.9,2.2,11,20.3,-16.8,32,3.5,1.7,64,76.5,79.5,14,81.1,65.6,83,63.9,80.2,49,52,46,66,6.8,15.7,57,,,34,7.7,2.8,84,3.7,6.8,7,50,7,,,,30,40,20,28,11.5,8.4,53,,,5,85.4,55.2,14,42,49.1,41,24.1,20.9,19,93.5,88.1
36.0,,01047956300,Dallas County,Alabama,2021,38,43,34,43,32,54,44,-0.6,-1.6,20,19.6,-8.3,32,3.5,1.7,84,77.1,85.2,21,86.1,76.6,78,63.5,77.4,32,48,15,41,5.1,1.7,53,,,49,8,16.2,27,5.3,3.3,3,49,3,,,,40,48,32,49,12.9,18,48,,,4,86.8,54.7,30,41.6,44.9,80,26.3,42.8,15,94.3,87.3
37.0,,01047956300,Dallas County,Alabama,2022,39,42,36,47,43,51,58,-0.7,2.3,28,24.5,8.7,32,3.5,1.7,95,76.7,88.8,19,87.8,78.4,59,63.8,68.2,32,47,18,56,-12.1,-8.3,28,,,57,16.4,37.2,31,5.3,3.6,6,49,6,,,,37,36,38,52,13.7,21.2,20,,,6,87,58.9,20,41.6,47.3,82,26.3,44.2,42,94.2,93.2
38.0,,01047956300,Dallas County,Alabama,2023,42,50,33,48,46,51,68,-0.9,7.1,24,42.1,18.5,32,3.5,1.7,92,76,87,23,89.1,82,58,63.9,67.7,33,46,20,48,27.3,25.5,77,,,12,-8.7,-52.5,33,4,2.9,6,49,6,,,,43,58,28,47,15.7,20.9,70,,,5,86.9,58.1,4,41.8,55.1,70,26.6,36.4,31,94.3,91.4
39.0,,01047956300,Dallas County,Alabama,2024,39,40,38,48,46,51,68,-0.9,7.1,24,42.1,18.5,32,3.5,1.7,92,76,87,23,89.1,82,58,63.9,67.7,34,34,34,42,-5,-7.2,48,,,12,-8.7,-52.5,62,3.7,4.7,6,49,6,,,,34,39,28,47,15.7,20.9,31,,,5,86.9,58.1,4,41.8,55.1,70,26.6,36.4,31,94.3,91.4
